AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,Discount,DLC count,Windows,Mac,Linux,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags
496350,Supipara - Chapter 1 Spring Has Come!,"Jul 29, 2016",0 - 20000,0,0,5.24,65,0,True,False,False,0,0,252,3,0,231,8,8,minori,MangaGamer,"Single-player,Steam Trading Cards,Steam Cloud,Family Sharing",Adventure,"Adventure,Visual Novel,Anime,Cute"
1025440,Fantasy General II,"Sep 5, 2019",100000 - 200000,13,0,13.99,0,4,True,False,False,80,0,1025,210,77,994,489,52,Owned by Gravity,Slitherine Ltd.,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Cloud,Includes level editor,Family Sharing",Strategy,"Strategy,Turn-Based Strategy,Fantasy,Turn-Based,Turn-Based Tactics,Turn-Based Combat,Tactical,Singleplayer,Wargame,Hex Grid,Grand Strategy,Dark Fantasy,4X,Multiplayer,War,Military,Replay Value,Resource Management,Great Soundtrack,Management"
688420,Bad North: Jotunn Edition,"Nov 16, 2018",500000 - 1000000,64,0,2.99,80,1,True,True,False,0,0,11367,831,11,11250,342,173,"Plausible Concept,Oskar Stålberg",Raw Fury,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Family Sharing","Action,Indie,Simulation","Wargame,Vikings,Tower Defense,Real Time Tactics,Survival,Action Roguelike,Minimalist,RTS,Auto Battler,War,Rogue-like,Combat,Stylized,Rogue-lite,Strategy,Fighting,Blood,Cute,Tactical,Simulation"
334030,Epic Arena,"May 5, 2015",100000 - 200000,2,0,0.0,0,5,True,False,False,0,0,196,104,45,0,88,93,Shadow Masters,Shadow Masters,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards","Free To Play,Indie,Strategy","Free to Play,Strategy,Indie,Turn-Based,Turn-Based Combat,Turn-Based Tactics,Multiplayer,Card Game"
416790,The Metronomicon: Slay The Dance Floor,"Sep 29, 2016",20000 - 50000,1,0,4.99,0,8,True,True,False,79,0,330,65,32,277,183,237,Puuba,Akupara Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play Together,Family Sharing","Action,Indie,RPG","Rhythm,Music,Indie,Soundtrack,Singleplayer,RPG,Action,Party-Based RPG,Fast-Paced,Fantasy,Experimental,Comedy,Funny,2D,Co-op,Local Multiplayer,Side Scroller,Colorful,Multiplayer,Adventure"
1110050,Evan's Remains,"Jun 11, 2020",200000 - 500000,2,0,1.39,0,1,True,True,False,75,0,1637,230,17,977,205,250,maitan69,Whitethorn Games,"Single-player,Steam Achievements,Full controller support,Camera Comfort,Playable without Timed Input,Family Sharing","Adventure,Casual,Indie","Casual,Puzzle-Platformer,Visual Novel,Female Protagonist,Platformer,2D,Pixel Graphics,Story Rich,Cute,Puzzle,Colorful,Anime,Mystery,Thriller,Logic,Atmospheric,Adventure,Singleplayer,Indie,Great Soundtrack"
715560,Eastshade,"Feb 13, 2019",100000 - 200000,3,0,9.99,0,1,True,False,False,78,0,4608,549,18,4928,320,151,Eastshade Studios,Eastshade Studios,"Single-player,Steam Achievements,Full controller support,Remote Play on TV,Family Sharing","Adventure,Indie","Exploration,Relaxing,Open World,Beautiful,Atmospheric,Adventure,Walking Simulator,Singleplayer,First-Person,Nature,Indie,Colorful,Casual,RPG,Interactive Fiction,Story Rich,Fantasy,Great Soundtrack,Crafting,Survival"
849178,Shadow of the Tomb Raider: Definitive Edition,"Sep 14, 2018",0 - 20000,0,17,4.0,0,0,True,True,True,77,0,13036,4825,99,66723,0,0,"Eidos-Montréal,Crystal Dynamics,Nixxes,Feral Interactive (Mac),Feral interactive (Linux)","Crystal Dynamics,Feral Interactive (Mac),Feral interactive (Linux)","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Adventure","Adventure,Lara Croft,Action,Female Protagonist,Third Person,Singleplayer,Story Rich,Puzzle,Open World,Action-Adventure,Stealth,Exploration,Survival,Violent,Atmospheric,Shooter,Gore,Great Soundtrack,Dark,Heist"
375510,New kind of adventure,"Jun 4, 2015",500000 - 1000000,0,0,0.99,50,0,True,False,False,0,0,632,881,0,844,217,212,Mint Age Studios,Back To Basics Gaming,"Single-player,Steam Trading Cards,Family Sharing","Adventure,Indie,RPG,Early Access","Early Access,Indie,Adventure,RPG,Psychological Horror,Horror,Nudity,Singleplayer,Survival Horror,Memes"
2404170,Museum No.9,"Feb 9, 2025",0 - 20000,0,0,4.99,0,0,True,False,False,0,0,160,49,49,162,0,0,YaoYi Technology,YaoYi Technology,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie,RPG,Simulation,Strategy","Simulation,Casual,Adventure,Rogue-lite,RPG,Life Sim,Historical,Cute,Mining,Building,Base-Building,Dungeon Crawler,Strategy,Pixel Graphics,Crafting,2D,Singleplayer,Indie,Resource Management,Farming Sim"
